query_id,baseline_rank,expl_rank,baseline_in_topk,expl_in_topk
q20105,1.0,2.0,True,True
q20106,1.0,inf,True,False
q20107,6.0,inf,True,False
q20108,9.0,41.0,True,False
q20109,1.0,6.0,True,True
q20110,6.0,100.0,True,False
q20111,3.0,19.0,True,True
q20112,24.0,inf,True,False
q20113,62.0,23.0,False,True
q20114,59.0,inf,False,False
q20115,3.0,14.0,True,True
q20116,154.0,inf,False,False
q20117,34.0,inf,True,False
q20118,118.0,inf,False,False
q20119,14.0,97.0,True,False
q20120,10.0,inf,True,False
q20121,22.0,46.0,True,False
q20122,428.0,inf,False,False
q20123,8.0,32.0,True,True
q20124,2.0,15.0,True,True
q20125,5.0,9.0,True,True
q20126,32.0,inf,True,False
q20127,1.0,inf,True,False
q20128,5.0,31.0,True,True
q20129,19.0,86.0,True,False
q20130,4.0,3.0,True,True
q20131,2.0,12.0,True,True
q20132,10.0,inf,True,False
q20133,4.0,4.0,True,True
q20134,78.0,6.0,False,True
q20135,1.0,7.0,True,True
q20136,7.0,1.0,True,True
q20137,1.0,inf,True,False
q20138,1.0,97.0,True,False
q20139,1.0,17.0,True,True
q20140,55.0,inf,False,False
q20141,5.0,3.0,True,True
q20142,1.0,1.0,True,True
q20143,58.0,inf,False,False
q20144,3.0,11.0,True,True
q20145,15.0,63.0,True,False
q20146,1.0,inf,True,False
q20147,185.0,inf,False,False
q20148,100.0,8.0,False,True
q20149,22.0,inf,True,False
q20150,52.0,72.0,False,False
q20151,28.0,inf,True,False
q20152,14.0,23.0,True,True
q20153,1.0,inf,True,False
q20154,67.0,54.0,False,False
q20155,1.0,52.0,True,False
q20156,11.0,77.0,True,False
q20157,1.0,32.0,True,True
q20158,25.0,31.0,True,True
q20159,11.0,6.0,True,True
q20160,5.0,1.0,True,True
q20161,1.0,1.0,True,True
q20162,90.0,inf,False,False
q20163,103.0,inf,False,False
q20164,9.0,46.0,True,False
q20165,29.0,67.0,True,False
q20166,16.0,inf,True,False
q20167,162.0,19.0,False,True
q20168,1.0,40.0,True,True
q20169,65.0,82.0,False,False
q20170,305.0,inf,False,False
q20171,3.0,4.0,True,True
q20172,7.0,inf,True,False
q20173,5.0,16.0,True,True
q20174,16.0,32.0,True,True
q20175,25.0,inf,True,False
q20176,20.0,78.0,True,False
q20177,12.0,inf,True,False
q20178,1.0,1.0,True,True
q20179,1.0,inf,True,False
q20180,9.0,25.0,True,True
q20181,17.0,9.0,True,True
q20182,1.0,50.0,True,False
q20183,16.0,inf,True,False
q20184,2.0,15.0,True,True
q20185,51.0,57.0,False,False
q20186,3.0,inf,True,False
q20187,65.0,inf,False,False
q20188,183.0,inf,False,False
q20189,73.0,inf,False,False
q20190,10.0,67.0,True,False
q20191,34.0,inf,True,False
q20192,11.0,inf,True,False
q20193,526.0,inf,False,False
q20194,97.0,inf,False,False
q20195,1.0,7.0,True,True
q20196,33.0,27.0,True,True
q20197,19.0,63.0,True,False
q20198,10.0,inf,True,False
q20199,5.0,inf,True,False
q20200,15.0,40.0,True,True
q20201,6.0,53.0,True,False
q20202,1.0,8.0,True,True
q20203,1.0,3.0,True,True
q20204,58.0,inf,False,False
q20205,2.0,25.0,True,True
q20206,4.0,46.0,True,False
q20207,11.0,41.0,True,False
q20208,10.0,80.0,True,False
q20209,75.0,20.0,False,True
q20210,2.0,inf,True,False
q20211,4.0,inf,True,False
q20212,3.0,inf,True,False
q20213,435.0,inf,False,False
q20214,1.0,inf,True,False
q20215,8.0,58.0,True,False
q20216,11.0,inf,True,False
q20217,1.0,39.0,True,True
q20218,1.0,inf,True,False
q20219,8.0,65.0,True,False
q20220,30.0,inf,True,False
q20221,25.0,inf,True,False
q20222,23.0,92.0,True,False
q20223,8.0,inf,True,False
q20224,6.0,31.0,True,True
q20225,1.0,35.0,True,True
q20226,1.0,16.0,True,True
q20227,3.0,29.0,True,True
q20228,1.0,inf,True,False
q20229,9.0,inf,True,False
q20230,16.0,inf,True,False
q20231,32.0,inf,True,False
q20232,1.0,inf,True,False
q20233,7.0,42.0,True,False
q20234,60.0,inf,False,False
q20235,5.0,15.0,True,True
q20236,8.0,15.0,True,True
q20237,108.0,inf,False,False
q20238,2.0,2.0,True,True
q20239,2.0,32.0,True,True
q20240,7.0,inf,True,False
q20241,6.0,9.0,True,True
q20242,7.0,64.0,True,False
q20243,27.0,17.0,True,True
q20244,1.0,5.0,True,True
q20245,1.0,1.0,True,True
q20246,27.0,67.0,True,False
q20247,52.0,inf,False,False
q20248,7.0,7.0,True,True
q20249,185.0,inf,False,False
q20250,1.0,2.0,True,True
q20251,134.0,inf,False,False
q20252,6.0,90.0,True,False
q20253,9.0,inf,True,False
q20254,2.0,4.0,True,True
q20255,2.0,inf,True,False
q20256,316.0,inf,False,False
q20257,9.0,inf,True,False
q20258,353.0,inf,False,False
q20259,14.0,76.0,True,False
q20260,3.0,6.0,True,True
q20261,126.0,inf,False,False
q20262,1.0,7.0,True,True
q20263,1.0,inf,True,False
q20264,1.0,55.0,True,False
q20265,3.0,63.0,True,False
q20266,50.0,inf,False,False
q20267,7.0,29.0,True,True
q20268,2.0,19.0,True,True
q20269,11.0,1.0,True,True
q20270,7.0,inf,True,False
q20271,10.0,inf,True,False
q20272,19.0,inf,True,False
q20273,11.0,7.0,True,True
q20274,8.0,5.0,True,True
q20275,14.0,inf,True,False
q20276,19.0,inf,True,False
q20277,1.0,52.0,True,False
q20278,15.0,18.0,True,True
q20279,inf,inf,False,False
q20280,615.0,inf,False,False
q20281,1.0,32.0,True,True
q20282,1.0,5.0,True,True
q20283,9.0,inf,True,False
q20284,6.0,7.0,True,True
q20285,3.0,60.0,True,False
q20286,1.0,inf,True,False
q20287,7.0,inf,True,False
q20288,181.0,inf,False,False
q20289,1.0,2.0,True,True
q20290,1.0,23.0,True,True
q20291,1.0,6.0,True,True
q20292,3.0,7.0,True,True
q20293,12.0,3.0,True,True
q20294,104.0,inf,False,False
q20295,43.0,inf,False,False
q20296,210.0,57.0,False,False
q20297,6.0,29.0,True,True
q20298,13.0,79.0,True,False
q20299,17.0,96.0,True,False
q20300,2.0,7.0,True,True
q20301,386.0,inf,False,False
q20302,265.0,inf,False,False
q20303,6.0,14.0,True,True
q20304,2.0,inf,True,False
q20305,9.0,18.0,True,True
q20306,13.0,inf,True,False
q20307,23.0,20.0,True,True
q20308,1.0,inf,True,False
q20309,8.0,21.0,True,True
q20310,4.0,10.0,True,True
q20311,9.0,47.0,True,False
q20312,44.0,inf,False,False
q20313,56.0,56.0,False,False
q20314,63.0,inf,False,False
q20315,124.0,inf,False,False
q20316,5.0,inf,True,False
q20317,182.0,inf,False,False
q20318,2.0,17.0,True,True
q20319,60.0,inf,False,False
q20320,8.0,26.0,True,True
q20321,23.0,inf,True,False
q20322,1.0,inf,True,False
q20323,93.0,inf,False,False
q20324,67.0,inf,False,False
q20325,1.0,3.0,True,True
q20326,1.0,54.0,True,False
q20327,5.0,44.0,True,False
q20328,620.0,inf,False,False
q20329,41.0,inf,False,False
q20330,3.0,21.0,True,True
q20331,3.0,7.0,True,True
q20332,1.0,inf,True,False
q20333,2.0,55.0,True,False
q20334,10.0,18.0,True,True
q20335,150.0,inf,False,False
q20336,10.0,48.0,True,False
q20337,83.0,inf,False,False
q20338,1.0,22.0,True,True
q20339,4.0,61.0,True,False
q20340,79.0,inf,False,False
q20341,5.0,29.0,True,True
q20342,18.0,inf,True,False
q20343,30.0,inf,True,False
q20344,5.0,30.0,True,True
q20345,3.0,10.0,True,True
q20346,1.0,1.0,True,True
q20347,7.0,22.0,True,True
q20348,6.0,inf,True,False
q20349,371.0,inf,False,False
q20350,117.0,inf,False,False
q20351,3.0,inf,True,False
q20352,1.0,5.0,True,True
q20353,6.0,86.0,True,False
q20354,10.0,30.0,True,True
q20355,9.0,10.0,True,True
q20356,6.0,58.0,True,False
q20357,22.0,inf,True,False
q20358,5.0,2.0,True,True
q20359,53.0,inf,False,False
q20360,2.0,inf,True,False
